distance;distance_km;bee ID;waggle_duration;mean_waggle_duration;circuit_duration;mean_circuit_duration;return_duration;mean_return_duration
100;0.1;_R;0.3;0.41;1.695;1.811;1.395;1.401
100;0.1;_W;0.355;;2.2;;1.845;
100;0.1;GG;0.365;;1.835;;1.47;
100;0.1;YY;0.495;;1.86;;1.365;
100;0.1;B_;0.535;;1.465;;0.93;
300;0.3;BB;0.555;0.765;2.4;2.183333333;1.845;1.418333333
300;0.3;WB;0.84;;1.965;;1.125;
300;0.3;_O;0.725;;2.36;;1.635;
300;0.3;_W2;0.765;;1.975;;1.21;
300;0.3;_Y;0.8;;2.21;;1.41;
300;0.3;Y_;0.905;;2.19;;1.285;
500;0.5;GB;1.07;0.982;3.025;2.558;1.955;1.576
500;0.5;WR;1.165;;2.8;;1.635;
500;0.5;_Hb;0.835;;2.315;;1.48;
500;0.5;HbW;0.89;;2.075;;1.185;
500;0.5;Wauge_;0.95;;2.575;;1.625;
700;0.7;HgB;0.855;1.280714286;3.66;3.274285714;2.805;1.993571429
700;0.7;P_;1.455;;3.145;;1.69;
700;0.7;WY;1.71;;4.065;;2.355;
700;0.7;_R2;1.13;;2.715;;1.585;
700;0.7;Hg_;1.505;;3.355;;1.85;
700;0.7;HgR;1.14;;2.845;;1.705;
700;0.7;HgW;1.17;;3.135;;1.965;
900;0.9;_p;1.65;1.587;3.57;3.391;1.92;1.804
900;0.9;_R3;1.6;;3.395;;1.795;
900;0.9;_RW;1.45;;2.72;;1.27;
900;0.9;Yp;1.615;;3.97;;2.355;
900;0.9;p_;1.62;;3.3;;1.68;
1100;1.1;_WHg;1.795;1.785833333;3.19;3.636666667;1.395;1.850833333
1100;1.1;BP;2.245;;4.385;;2.14;
1100;1.1;PY;1.575;;3.53;;1.955;
1100;1.1;W_;2.03;;3.56;;1.53;
1100;1.1;_WY;1.525;;3.145;;1.62;
1100;1.1;O_;1.545;;4.01;;2.465;
1300;1.3;_L;1.72;1.975714286;4.48;4.189285714;2.76;2.213571429
1300;1.3;_YHg;2.51;;4.12;;1.61;
1300;1.3;HbHb;1.94;;3.915;;1.975;
1300;1.3;RYW;1.765;;3.555;;1.79;
1300;1.3;_Hg;1.92;;3.72;;1.8;
1300;1.3;_RG;1.995;;5.365;;3.37;
1300;1.3;HgY;1.98;;4.17;;2.19;
1500;1.5;HgY2;2.655;2.084375;4.73;4.059375;2.075;1.975
1500;1.5;OW;2;;4.07;;2.07;
1500;1.5;HgHg;1.95;;4.025;;2.075;
1500;1.5;HgW2;1.935;;3.685;;1.75;
1500;1.5;OHg;2.155;;4.14;;1.985;
1500;1.5;RR_;2.025;;4.28;;2.255;
1500;1.5;WO;1.945;;3.555;;1.61;
1500;1.5;WW;2.01;;3.99;;1.98;
1700;1.7;_WY2;2.145;2.198571429;4.13;4.512857143;1.985;2.314285714
1700;1.7;_YW;2.345;;4.89;;2.545;
1700;1.7;OO;2.275;;4.615;;2.34;
1700;1.7;PHb;1.955;;4.095;;2.14;
1700;1.7;W_2;1.945;;4.435;;2.49;
1700;1.7;WeyeHb;2.365;;4.35;;1.985;
1700;1.7;R_;2.36;;5.075;;2.715;
