hive_E;hive_N;feeder_E;feeder_N;feeder_distance;bee _ID;daytime(UTC+2);waggle_angle;circular_mean_waggle _angle;waggle_duration;mean_waggle_duration;grand_mean_waggle_duration;return_duration;mean_return_duration;grant_mean_return_duration;circuit_duration;mean_circuit_duration;grant_mean_circuit_duration
10.53661;49.86179;10.53761;49.86241;100;_R;14:07:10;205.7;206.2504652;0.22;0.3;0.41;1.5;1.395;1.401;1.72;1.695;1.811
;;;;;;;193.54;;0.34;;;1.22;;;1.56;;
;;;;;;;190.97;;0.26;;;1.5;;;1.76;;
;;;;;;;235.8;;0.38;;;1.36;;;1.74;;
10.53661;49.86179;10.53761;49.86241;100;_W;14:06:50;214.06;209.9238542;0.32;0.355;;1.76;1.845;;2.08;2.2;
;;;;;;;208.02;;0.5;;;1.8;;;2.3;;
;;;;;;;226.28;;0.32;;;1.68;;;2;;
;;;;;;;191.23;;0.28;;;2.14;;;2.42;;
10.53661;49.86179;10.53761;49.86241;100;GG;14:09:00;139;181.560399;0.3;0.365;;1.54;1.47;;1.84;1.835;
;;;;;;;207.49;;0.26;;;1.62;;;1.88;;
;;;;;;;157.71;;0.34;;;1.04;;;1.38;;
;;;;;;;221.61;;0.56;;;1.68;;;2.24;;
10.53661;49.86179;10.53761;49.86241;100;YY;14:18:40;205.12;205.7351994;0.58;0.495;;1.28;1.365;;1.86;1.86;
;;;;;;;222.33;;0.46;;;1.22;;;1.68;;
;;;;;;;177.22;;0.52;;;1.54;;;2.06;;
;;;;;;;217.42;;0.42;;;1.42;;;1.84;;
10.53661;49.86179;10.53761;49.86241;100;B_;14:44:50;205.77;190.5168601;0.48;0.535;;0.8;0.93;;1.28;1.465;
;;;;;;;201.36;;0.7;;;0.86;;;1.56;;
;;;;;;;169.73;;0.3;;;1;;;1.3;;
;;;;;;;184.99;;0.66;;;1.06;;;1.72;;
10.53661;49.86179;10.54063;49.86249;300;BB;15:53:59;211.63;182.6397733;0.62;0.555;0.765;1.98;1.845;1.418333333;2.6;2.4;2.183333333
;;;;;;;160.39;;0.48;;;1.6;;;2.08;;
;;;;;;;222.07;;0.78;;;1.86;;;2.64;;
;;;;;;;134.81;;0.34;;;1.94;;;2.28;;
10.53661;49.86179;10.54063;49.86249;300;WB;15:50:50;197.22;211.8405552;0.86;0.84;;0.94;1.125;;1.8;1.965;
;;;;;;;235.16;;0.78;;;0.92;;;1.7;;
;;;;;;;192.46;;1.04;;;1.34;;;2.38;;
;;;;;;;222.7;;0.68;;;1.3;;;1.98;;
10.53661;49.86179;10.54063;49.86249;300;_O;18:56:30;145.81;149.3212333;0.74;0.725;;1.84;1.635;;2.58;2.36;
;;;;;;;161.64;;0.74;;;1.34;;;2.08;;
;;;;;;;134.38;;0.82;;;2.12;;;2.94;;
;;;;;;;155.39;;0.6;;;1.24;;;1.84;;
10.53661;49.86179;10.54063;49.86249;300;_W2;18:54:30;151.53;171.9377699;0.72;0.765;;1.06;1.21;;1.78;1.975;
;;;;;;;192.69;;0.72;;;1.06;;;1.78;;
;;;;;;;163.91;;0.9;;;1.5;;;2.4;;
;;;;;;;179.64;;0.72;;;1.22;;;1.94;;
10.53661;49.86179;10.54063;49.86249;300;_Y;18:52:40;185.87;168.0426269;0.84;0.8;;1.48;1.41;;2.32;2.21;
;;;;;;;174.39;;0.8;;;1.38;;;2.18;;
;;;;;;;158.52;;0.74;;;1.42;;;2.16;;
;;;;;;;153.49;;0.82;;;1.36;;;2.18;;
10.53661;49.86179;10.54063;49.86249;300;Y_;19:05:35;137.81;152.5889557;0.94;0.905;;1.16;1.285;;2.1;2.19;
;;;;;;;196.96;;1.08;;;1.22;;;2.3;;
;;;;;;;116.52;;0.66;;;1.08;;;1.74;;
;;;;;;;160.9;;0.94;;;1.68;;;2.62;;
10.53661;49.86179;10.54355;49.86148;500;GB;16:07:50;213.63;218.2224176;1.22;1.07;0.982;1.94;1.955;1.576;3.16;3.025;2.558
;;;;;;;215.34;;0.9;;;2.02;;;2.92;;
;;;;;;;222.97;;1.16;;;2.06;;;3.22;;
;;;;;;;220.95;;1;;;1.8;;;2.8;;
10.53661;49.86179;10.54355;49.86148;500;WR;15:59:00;229.78;214.7373631;0.98;1.165;;1.5;1.635;;2.48;2.8;
;;;;;;;191.84;;1.3;;;1.48;;;2.78;;
;;;;;;;235.32;;1.16;;;1.78;;;2.94;;
;;;;;;;201.91;;1.22;;;1.78;;;3;;
10.53661;49.86179;10.54355;49.86148;500;_Hb;16:13:50;174.54;203.8206346;0.58;0.835;;1.4;1.48;;1.98;2.315;
;;;;;;;197.23;;1.04;;;1.78;;;2.82;;
;;;;;;;243.56;;0.52;;;1.52;;;2.04;;
;;;;;;;201.79;;1.2;;;1.22;;;2.42;;
10.53661;49.86179;10.54355;49.86148;500;HbW;16:14:25;209.13;198.6409443;0.7;0.89;;1.2;1.185;;1.9;2.075;
;;;;;;;174.42;;0.94;;;1.04;;;1.98;;
;;;;;;;228.43;;0.9;;;1.26;;;2.16;;
;;;;;;;183.06;;1.02;;;1.24;;;2.26;;
10.53661;49.86179;10.54355;49.86148;500;Wauge_;16:13:00;236.36;203.1241815;0.98;0.95;;1.44;1.625;;2.42;2.575;
;;;;;;;209.32;;1.08;;;1.62;;;2.7;;
;;;;;;;204.19;;0.82;;;1.72;;;2.54;;
;;;;;;;160.7;;0.92;;;1.72;;;2.64;;
10.53661;49.86179;10.54632;49.86156;700;HgB;17:27:40;210.96;196.2482311;0.82;0.855;1.280714286;2.28;2.805;1.993571429;3.1;3.66;3.274285714
;;;;;;;186.2;;1.08;;;2.32;;;3.4;;
;;;;;;;223.55;;1.02;;;4.58;;;5.6;;
;;;;;;;163.69;;0.5;;;2.04;;;2.54;;
10.53661;49.86179;10.54632;49.86156;700;P_;17:26:05;207.16;198.6374145;1.34;1.455;;1.7;1.69;;3.04;3.145;
;;;;;;;178.09;;1.36;;;1.64;;;3;;
;;;;;;;208.33;;1.72;;;1.56;;;3.28;;
;;;;;;;200.61;;1.4;;;1.86;;;3.26;;
10.53661;49.86179;10.54632;49.86156;700;WY;17:14:30;216.09;225.242872;1.62;1.71;;2.72;2.355;;4.34;4.065;
;;;;;;;225.1;;1.64;;;2.28;;;3.92;;
;;;;;;;235.67;;1.64;;;2.46;;;4.1;;
;;;;;;;224.13;;1.94;;;1.96;;;3.9;;
10.53661;49.86179;10.54632;49.86156;700;_R2;17:30:10;200.29;197.1755545;1.2;1.13;;1.7;1.585;;2.9;2.715;
;;;;;;;189.07;;0.98;;;1.6;;;2.58;;
;;;;;;;211.75;;1.16;;;1.4;;;2.56;;
;;;;;;;187.68;;1.18;;;1.64;;;2.82;;
10.53661;49.86179;10.54632;49.86156;700;Hg_;17:29:28;193.58;196.4093916;1.4;1.505;;1.76;1.85;;3.16;3.355;
;;;;;;;196.96;;1.44;;;1.98;;;3.42;;
;;;;;;;191.35;;1.58;;;1.6;;;3.18;;
;;;;;;;203.76;;1.6;;;2.06;;;3.66;;
10.53661;49.86179;10.54632;49.86156;700;HgR;17:33:10;200.89;196.6031958;1.32;1.14;;1.76;1.705;;3.08;2.845;
;;;;;;;194.51;;0.92;;;2.02;;;2.94;;
;;;;;;;204.31;;1.12;;;1.68;;;2.8;;
;;;;;;;186.68;;1.2;;;1.36;;;2.56;;
10.53661;49.86179;10.54632;49.86156;700;HgW;17:28:00;219.78;206.8248488;0.62;1.17;;1.62;1.965;;2.24;3.135;
;;;;;;;172.88;;1.9;;;1.7;;;3.6;;
;;;;;;;231.63;;0.82;;;2.1;;;2.92;;
;;;;;;;201.93;;1.34;;;2.44;;;3.78;;
10.53661;49.86179;10.54908;49.86112;900;_p;12:08:05;280.84;286.2440458;1.88;1.65;1.587;2.94;1.92;1.804;4.82;3.57;3.391
;;;;;;;311.66;;1.36;;;1.38;;;2.74;;
;;;;;;;254.41;;1.76;;;1.66;;;3.42;;
;;;;;;;297.34;;1.6;;;1.7;;;3.3;;
10.53661;49.86179;10.54908;49.86112;900;_R3;11:59:30;295.11;296.5446937;1.82;1.6;;1.8;1.795;;3.62;3.395;
;;;;;;;300.27;;1.58;;;1.92;;;3.5;;
;;;;;;;287.64;;1.38;;;1.74;;;3.12;;
;;;;;;;303.14;;1.62;;;1.72;;;3.34;;
10.53661;49.86179;10.54908;49.86112;900;_RW;12:08:30;302.49;293.0215659;1.46;1.45;;1.26;1.27;;2.72;2.72;
;;;;;;;283.07;;1.52;;;1.1;;;2.62;;
;;;;;;;290.25;;1.48;;;1.38;;;2.86;;
;;;;;;;296.27;;1.34;;;1.34;;;2.68;;
10.53661;49.86179;10.54908;49.86112;900;Yp;11:57:38;294.21;304.2170341;1.78;1.615;;2.04;2.355;;3.82;3.97;
;;;;;;;310.68;;1.62;;;2.8;;;4.42;;
;;;;;;;309.94;;1.56;;;2.68;;;4.24;;
;;;;;;;302.01;;1.5;;;1.9;;;3.4;;
10.53661;49.86179;10.54908;49.86112;900;p_;12:26:00;282.98;284.2363761;1.86;1.62;;1.5;1.68;;3.36;3.3;
;;;;;;;280.42;;1.52;;;1.54;;;3.06;;
;;;;;;;282.27;;1.56;;;1.7;;;3.26;;
;;;;;;;291.29;;1.54;;;1.98;;;3.52;;
10.53661;49.86179;10.55151;49.85957;1100;_WHg;14:22:45;246.68;250.1826078;1.94;1.795;1.785833333;1.48;1.395;1.850833333;3.42;3.19;3.636666667
;;;;;;;243.66;;1.72;;;1.34;;;3.06;;
;;;;;;;249.92;;1.82;;;1.42;;;3.24;;
;;;;;;;260.51;;1.7;;;1.34;;;3.04;;
10.53661;49.86179;10.55151;49.85957;1100;BP;14:23:55;247.51;243.5522076;2.58;2.245;;3.14;2.14;;5.72;4.385;
;;;;;;;242.96;;2.06;;;1.68;;;3.74;;
;;;;;;;257.57;;2.32;;;1.94;;;4.26;;
;;;;;;;226.04;;2.02;;;1.8;;;3.82;;
10.53661;49.86179;10.55151;49.85957;1100;PY;14:12:00;217.35;242.150626;1.46;1.575;;1.86;1.955;;3.32;3.53;
;;;;;;;259.6;;1.78;;;1.74;;;3.52;;
;;;;;;;244.15;;1.62;;;2.02;;;3.64;;
;;;;;;;247.01;;1.44;;;2.2;;;3.64;;
10.53661;49.86179;10.55151;49.85957;1100;W_;14:20:40;263.48;260.9211047;2.22;2.03;;1.78;1.53;;4;3.56;
;;;;;;;258.91;;1.66;;;1.62;;;3.28;;
;;;;;;;247.44;;2.16;;;1.66;;;3.82;;
